lexemesId	meaning	before	after	comment	ignore	verb_type	number	gender
315	letter				0	n/a	n/a	n/a
316	come				0	n/a	n/a	n/a
316	bring				0	n/a	n/a	n/a
317	arrival				0	n/a	n/a	n/a
317	presence				0	n/a	n/a	n/a
317	advent				0	n/a	n/a	n/a
318	coming				0	n/a	n/a	n/a
319	furnace				0	n/a	n/a	n/a
320	yesterday				0	n/a	n/a	n/a
321	ass	she-			0	n/a	n/a	n/a
322	Athens				0	n/a	n/a	n/a
323	Athenian				0	n/a	n/a	n/a
324	region				0	n/a	n/a	n/a
324	place				0	n/a	n/a	n/a
324	country				0	n/a	n/a	n/a
324	respite				0	n/a	n/a	n/a
324	space or room	available			0	n/a	n/a	n/a
325	after				0	n/a	n/a	n/a
325	behind				0	n/a	n/a	n/a
326	afterwards				0	n/a	n/a	n/a
327	in				0	n/a	n/a	n/a
327	by				0	n/a	n/a	n/a
327	into				0	n/a	n/a	n/a
327	among				0	n/a	n/a	n/a
327	at				0	n/a	n/a	n/a
327	with				0	n/a	n/a	n/a
327	against				0	n/a	n/a	n/a
328	well				0	n/a	n/a	n/a
328	cistern				0	n/a	n/a	n/a
	evil	be			0	n/a	n/a	n/a
329	offended	be		w/ &L&	0	n/a	n/a	n/a
329	ill-treat				0	n/a	n/a	n/a
330	evil				0	n/a	n/a	n/a
330	wrong				0	n/a	n/a	n/a
331	badly				0	n/a	n/a	n/a
331	sorely				0	n/a	n/a	n/a
332	wickedness				0	n/a	n/a	n/a
332	wrong-doing				0	n/a	n/a	n/a
333	Babylon				0	n/a	n/a	n/a
334	cry out				0	n/a	n/a	n/a
335	before				0	n/a	n/a	n/a
335	appeal		to a higher court		0	n/a	n/a	n/a
336	feign				0	n/a	n/a	n/a
336	devise				0	n/a	n/a	n/a
337	babbling				0	n/a	n/a	n/a
338	show				0	n/a	n/a	n/a
338	known	make			0	n/a	n/a	n/a
339	scatter				0	n/a	n/a	n/a
339	disperse				0	n/a	n/a	n/a
339	spend				0	n/a	n/a	n/a
339	waste				0	n/a	n/a	n/a
339	scare away				0	n/a	n/a	n/a
340	cease				0	n/a	n/a	n/a
340	silent	become			0	n/a	n/a	n/a
340	quiet	become			0	n/a	n/a	n/a
341	glorify				0	n/a	n/a	n/a
342	dawn				0	n/a	n/a	n/a
342	twilight				0	n/a	n/a	n/a
343	boastful				0	n/a	n/a	n/a
344	pride				0	n/a	n/a	n/a
345	glorying				0	n/a	n/a	n/a
345	vainglory				0	n/a	n/a	n/a
345	vaunting				0	n/a	n/a	n/a
346	ashamed	be			0	n/a	n/a	n/a
346	shame				0	n/a	n/a	n/a
347	shame				0	n/a	n/a	n/a
348	senate				0	n/a	n/a	n/a
349	senator				0	n/a	n/a	n/a
349	councillor				0	n/a	n/a	n/a
350	linen				0	n/a	n/a	n/a
350	byssus				0	n/a	n/a	n/a
351	uncultivated	be			0	n/a	n/a	n/a
352	rude				0	n/a	n/a	n/a
352	uncultivated				0	n/a	n/a	n/a
352	unskilled				0	n/a	n/a	n/a
353	knee				0	n/a	n/a	n/a
354	blessing				0	n/a	n/a	n/a
354	benediction				0	n/a	n/a	n/a
355	blessed				0	n/a	n/a	n/a
356	kneel				0	n/a	n/a	n/a
356	bless				0	n/a	n/a	n/a
357	tanner				0	n/a	n/a	n/a
358	spoil				0	n/a	n/a	n/a
358	plunder				0	n/a	n/a	n/a
359	spoil				0	n/a	n/a	n/a
360	mock				0	n/a	n/a	n/a
360	deride				0	n/a	n/a	n/a
361	mocking				0	n/a	n/a	n/a
	raillery				0	n/a	n/a	n/a
361	jeering				0	n/a	n/a	n/a
362	mocker				0	n/a	n/a	n/a
363	break through				0	n/a	n/a	n/a
363	burst				0	n/a	n/a	n/a
	rent				0	n/a	n/a	n/a
363	tear				0	n/a	n/a	n/a
364	rupture				0	n/a	n/a	n/a
