	ܩܫܝܫ	http://syriaca.org/person/2032
Diocles	ܕܝܘܩܠܝܣ	http://syriaca.org/person/1680
Diodore	ܕܝܕܘܪܘܣ	http://syriaca.org/person/1681
Diodore of Tarsus	ܕܝܘܕܘܪܘܣ ܕܛܪܣܘܣ	http://syriaca.org/person/451
Dionysios bar Salibi	ܕܝܘܢܢܘܣܝܘܣ ܒܪ ܨܠܝܒܝ	http://syriaca.org/person/212
Dioscorus	[Syriac Not Available]	http://syriaca.org/person/3004
Dioscorus	ܕܝܘܣܩܘܪܘܣ	http://syriaca.org/person/1682
A Disciple, killed by his master	[Syriac Not Available]	http://syriaca.org/person/1686
Disciple of an Elder	[Syriac Not Available]	http://syriaca.org/person/1683
Disciple of an Elder of Scetis	[Syriac Not Available]	http://syriaca.org/person/1684
Disciple of a Solitary Elder	[Syriac Not Available]	http://syriaca.org/person/1685
Dodo	[Syriac Not Available]	http://syriaca.org/person/1193
Dometius	ܕܘܡܛܪܝܘܣ	http://syriaca.org/person/1689
Dometius	[Syriac Not Available]	http://syriaca.org/person/1374
Dometius	ܕܘܡܐܛܪܝܘܣ	http://syriaca.org/person/1214
Domitius	ܕܘܡܛ	http://syriaca.org/person/1213
Domninus	ܕܘܡܢܝܢܘܣ	http://syriaca.org/person/1690
Domnus	[Syriac Not Available]	http://syriaca.org/person/1691
Dorotheus	ܕܘܪܘܬܐܘܣ	http://syriaca.org/person/1692
Doticos	ܕܘܛܝܩܘܣ	http://syriaca.org/person/1693
Dourtan	ܕܘܪܬܢ	http://syriaca.org/person/1694
Drosis	ܕܪܘܣܝܣ	http://syriaca.org/person/1695
ʿEbed-Mshiha of Adiabene	ܥܒܕ ܡܫܝܚܐ	http://syriaca.org/person/1696
Edna	[Syriac Not Available]	http://syriaca.org/person/1215
The Egyptians of Qartmin	[Syriac Not Available]	http://syriaca.org/person/1216
Eleutherius	ܐܠܘܬܪܝܘܣ	http://syriaca.org/person/1697
Elian	[Syriac Not Available]	http://syriaca.org/person/1217
Elijah	[Syriac Not Available]	http://syriaca.org/person/1220
Elijah	[Syriac Not Available]	http://syriaca.org/person/1219
